,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[1, 1, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5500000000000003,0.0,0.0,0.0
"[1, 1, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 0, 1, 0, 0, -1, 0, 0, 0, 1, 0, -1, -1, 0, -1]",0.0,0.0,0.0,0.0,0.0,-16.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0
"[1, 1, 0, 1, 0, -1, -1, 0, 0, 0, 1, 0, -1, -1, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 0, 1, 0, -1, -1, 1, 0, 0, 1, 0, -1, -1, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.8,0.0,0.0,0.0,0.0
"[1, 1, 0, 1, 0, -1, -1, 1, 0, 0, 1, -1, -1, -1, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 0, 1, 0, -1, -1, 1, 0, 1, 1, -1, -1, -1, 0, -1]",-1000000.0,-1000000.0,0.0,-1000000.0,0.0,-1000000.0,-1000000.0,0.0,-15.700000000000001,-1000000.0,-1000000.0,0.0,-1000000.0,-1000000.0,0.0,0.0
"[1, 1, 0, 1, 0, -1, -1, 1, -1, 1, 1, -1, -1, -1, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",-4.513450762424105,-7.20560612,-4.4606288468165864,-4.875500000000001,-4.435719095494711,-4.4346626634500925,-7.35411112,-9.65397755,-4.4262393857446325,-6.51982,-6.53422,-1000000.0,-4.512756713097723,-4.639348537489679,-4.7284787999999995,-7.244667920000001
"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.0,-0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35000000000000003,0.0,0.0,0.0
"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-0.5,0.0,0.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[-1, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",-3.76421133244024,-3.629375992259548,-3.687711339539287,-3.684107435742442,-6.385714999999999,-3.6526839141867153,-6.477194560000001,-3.616791845893332,-4.236929,-6.51982,-3.6237526537501124,-3.72668151332862,-1000000.0,-4.278499999999999,-6.3006038144,-3.791864722639689
